Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Resolution,Created,Updated,Status,Custom field (Required Access Level),Custom field (Required Access Level)
Task,AO3-7117,74491,Bump actions/labeler from 5 to 6,,,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Medium,DeployedToBeta,08/Sep/25 12:53 PM,28/Sep/25 5:23 AM,Deployed,,
Improvement,AO3-7116,74462,Update wording of reset password link on login form,,,lydia-theda,5ded904a73b0bd0e4d82dd09,Low,,07/Sep/25 10:30 PM,08/Sep/25 12:39 AM,To Do,,
Improvement,AO3-7115,74461,Update password reset error messages when logged in,,,lydia-theda,5ded904a73b0bd0e4d82dd09,Medium,,07/Sep/25 10:28 PM,08/Sep/25 12:59 PM,To Do,Admin,
Improvement,AO3-7114,74460,Update password reset error messages when logged out,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,lydia-theda,5ded904a73b0bd0e4d82dd09,High,DeployedToBeta,07/Sep/25 10:28 PM,01/Oct/25 9:49 AM,Deployed,,
Improvement,AO3-7113,74459,Update set new password form and error messages,Tani Shah,712020:87ee7cc6-c729-4c3d-8820-2dbebe97bccc,lydia-theda,5ded904a73b0bd0e4d82dd09,Medium,,07/Sep/25 10:27 PM,01/Oct/25 10:14 AM,In Review,,
Improvement,AO3-7112,74458,Update password reset email,anna,712020:1bcdb886-fc02-4abf-9f5e-df4ba8bb1ccd,lydia-theda,5ded904a73b0bd0e4d82dd09,High,DeployedToBeta,07/Sep/25 10:25 PM,01/Oct/25 9:49 AM,Deployed,,
Bug,AO3-7111,74392,Bookmarks of deleted items are listed on collection dashboards but not Bookmarked Items pages,,,Sarken,557058:443ab871-4096-403e-bd6f-f3534fe417f0,Low,,01/Sep/25 4:13 PM,01/Sep/25 4:13 PM,To Do,,
Bug,AO3-7110,74359,Intermittent failure in rspec spec/lib/tasks/database_seed.rake_spec.rb,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Medium,DeployedToBeta,30/Aug/25 2:29 PM,08/Sep/25 2:17 PM,Deployed,,
Bug,AO3-7109,74326,Admin: No one can add or remove the translator user role ,,,Sarken,557058:443ab871-4096-403e-bd6f-f3534fe417f0,Low,Won't Do,28/Aug/25 8:59 PM,05/Sep/25 11:31 PM,Closed,Admin,
Bug,AO3-7108,74293,Skin.default doesn't always have the right attributes,Sarken,557058:443ab871-4096-403e-bd6f-f3534fe417f0,Sarken,557058:443ab871-4096-403e-bd6f-f3534fe417f0,Lowest,,26/Aug/25 12:13 AM,26/Aug/25 12:57 AM,In Review,,
Bug,AO3-7107,74260,Escaped HTML in plain text emails,,,Sarken,557058:443ab871-4096-403e-bd6f-f3534fe417f0,Low,,21/Aug/25 4:24 PM,30/Sep/25 10:35 AM,To Do,,
Improvement,AO3-7106,74227,Refactor UsersController#edit and #update,Jake Faulkner,70121:9d10b6c8-3c06-432f-bfe5-20b286449a4d,weeklies,61cc2a19326554006caa335c,Medium,,19/Aug/25 7:32 PM,29/Aug/25 5:41 PM,In Review,,
Improvement,AO3-7105,74196,Open Doors notification emails update: Invitation to claim works,anna,712020:1bcdb886-fc02-4abf-9f5e-df4ba8bb1ccd,CompulsiveReaderShip,70121:05c55330-fef4-41bb-99a7-1041b7e83b8d,Medium,,19/Aug/25 3:14 AM,28/Aug/25 8:21 PM,In Review,Archivist,Open Doors
Improvement,AO3-7104,74195,Open Doors notification emails update: Claim External Author Page,anna,712020:1bcdb886-fc02-4abf-9f5e-df4ba8bb1ccd,CompulsiveReaderShip,70121:05c55330-fef4-41bb-99a7-1041b7e83b8d,Medium,,19/Aug/25 3:11 AM,30/Sep/25 7:28 PM,To Do,Archivist,Open Doors
Improvement,AO3-7103,74194,Open Doors notification emails update: Works uploaded,anna,712020:1bcdb886-fc02-4abf-9f5e-df4ba8bb1ccd,CompulsiveReaderShip,70121:05c55330-fef4-41bb-99a7-1041b7e83b8d,Medium,,19/Aug/25 3:09 AM,02/Sep/25 8:55 PM,In Review,Archivist,
Epic,AO3-7102,74161,Open Doors notification emails update,,,CompulsiveReaderShip,70121:05c55330-fef4-41bb-99a7-1041b7e83b8d,Medium,,18/Aug/25 2:45 AM,19/Aug/25 10:36 PM,To Do,,
Task,AO3-7101,74129,Bump activestorage from 7.1.5.1 to 7.1.5.2,,,Sarken,557058:443ab871-4096-403e-bd6f-f3534fe417f0,Medium,Duplicate,13/Aug/25 8:58 PM,21/Aug/25 11:19 PM,Closed,,
Task,AO3-7100,74128,Bump activerecord from 7.1.5.1 to 7.1.5.2,,,Sarken,557058:443ab871-4096-403e-bd6f-f3534fe417f0,Medium,Duplicate,13/Aug/25 8:55 PM,21/Aug/25 11:19 PM,Closed,,
Task,AO3-7099,74096,Bump actions/checkout from 4 to 5,,,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Medium,DeployedToBeta,11/Aug/25 12:13 PM,19/Aug/25 2:24 PM,Deployed,,
Task,AO3-7098,74095,Bump awalsh128/cache-apt-pkgs-action from 1.5.1 to 1.5.3,,,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Medium,DeployedToBeta,11/Aug/25 12:13 PM,19/Aug/25 2:24 PM,Deployed,,
Bug,AO3-7097,74062,Gift and related work notifications sent for unrevealed works,,,Sarken,557058:443ab871-4096-403e-bd6f-f3534fe417f0,Medium,,04/Aug/25 4:43 PM,04/Aug/25 4:44 PM,To Do,,
Improvement,AO3-7096,74029,Track when a collection's anonymous or unrevealed settings were last updated,Connie Feng,712020:17930fa1-d647-47bd-b334-8a84cbacfca7,Sarken,557058:443ab871-4096-403e-bd6f-f3534fe417f0,Medium,,03/Aug/25 8:35 PM,17/Aug/25 9:51 AM,In Review,,
Task,AO3-7095,73998,Add user and admin accounts for more roles to fixtures,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Medium,DeployedToBeta,03/Aug/25 5:18 AM,26/Aug/25 9:33 AM,Deployed,,
Improvement,AO3-7094,73997,Allow basic use of custom properties/variables in site skins,Sarken,557058:443ab871-4096-403e-bd6f-f3534fe417f0,Sarken,557058:443ab871-4096-403e-bd6f-f3534fe417f0,Medium,DeployedToBeta,03/Aug/25 4:14 AM,19/Aug/25 2:24 PM,Deployed,,
Improvement,AO3-7093,73996,Add automated test to check that fixtures used for database seeding result in valid records,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Medium,DeployedToBeta,03/Aug/25 3:25 AM,19/Aug/25 2:24 PM,Deployed,,
Task,AO3-7092,73968,Change format of output on admin creation script and update the auditing scripts in otw-scripts,,,Sarken,557058:443ab871-4096-403e-bd6f-f3534fe417f0,Medium,,02/Aug/25 7:46 PM,02/Aug/25 8:34 PM,To Do,,
Task,AO3-7091,73967,Stop using fixtures in feature tests,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Medium,DeployedToBeta,02/Aug/25 1:44 PM,19/Aug/25 2:24 PM,Deployed,,
Improvement,AO3-7090,73931,Change emails to generate HTTPS URLs,anna,712020:1bcdb886-fc02-4abf-9f5e-df4ba8bb1ccd,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Medium,DeployedToBeta,31/Jul/25 6:13 AM,19/Aug/25 2:24 PM,Deployed,,
Task,AO3-7089,73930,Removed redundant shared example,katieyang,5a08a9e6120cec1d951a2219,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Lowest,DeployedToBeta,31/Jul/25 5:16 AM,08/Sep/25 2:17 PM,Deployed,,
Bug,AO3-7088,73897,Intermittent failure in cucumber features/importing/work_import_lj.feature,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Medium,DeployedToBeta,30/Jul/25 11:37 AM,05/Aug/25 2:31 PM,Deployed,,
Improvement,AO3-7087,73872,Prevent using a pwned password,Brian Austin,557058:48d6a38e-168b-4aa7-a58d-a1853a844295,Brian Austin,557058:48d6a38e-168b-4aa7-a58d-a1853a844295,High,DeployedToBeta,26/Jul/25 11:40 AM,19/Aug/25 3:48 PM,Deployed,,
Improvement,AO3-7086,73871,Update password form and error messages,Abhinav Gupta,712020:624c783f-a309-44db-aeef-57a38e27ad3a,lydia-theda,5ded904a73b0bd0e4d82dd09,Medium,DeployedToBeta,26/Jul/25 9:55 AM,01/Oct/25 9:49 AM,Deployed,,
Improvement,AO3-7085,73870,"Update buttons when posting, previewing, or editing a work",weeklies,61cc2a19326554006caa335c,lydia-theda,5ded904a73b0bd0e4d82dd09,Medium,,26/Jul/25 9:44 AM,01/Oct/25 12:52 PM,In Review,,
Improvement,AO3-7084,73869,Disclose when image stripping occurs,Jake Faulkner,70121:9d10b6c8-3c06-432f-bfe5-20b286449a4d,lydia-theda,5ded904a73b0bd0e4d82dd09,Medium,,26/Jul/25 6:49 AM,01/Oct/25 3:43 AM,In Review,,
Improvement,AO3-7083,73868,Update text on comment form for guests,jinlin270,712020:0d41d889-55e9-478c-8386-d5c6ea88b065,lydia-theda,5ded904a73b0bd0e4d82dd09,Medium,,26/Jul/25 6:02 AM,28/Jul/25 8:09 PM,In Review,,
Improvement,AO3-7080,73865,Prevent guest comments from suspended and banned accounts,,,lydia-theda,5ded904a73b0bd0e4d82dd09,Medium,,26/Jul/25 5:09 AM,03/Aug/25 3:11 AM,To Do,Admin,
Improvement,AO3-7079,73864,add series ID and anonymous classes to work blurbs,Sarken,557058:443ab871-4096-403e-bd6f-f3534fe417f0,lydia-theda,5ded904a73b0bd0e4d82dd09,Medium,,26/Jul/25 4:17 AM,29/Sep/25 5:12 PM,On Hold,,
Bug,AO3-7078,73832,Can't set fallback by using the same CSS property multiple times in a single ruleset,,,Sarken,557058:443ab871-4096-403e-bd6f-f3534fe417f0,Medium,,25/Jul/25 5:13 PM,30/Jul/25 4:04 PM,To Do,,
Task,AO3-7077,73831,Update information on tag_wranglings page,anna,712020:1bcdb886-fc02-4abf-9f5e-df4ba8bb1ccd,Brian Austin,557058:48d6a38e-168b-4aa7-a58d-a1853a844295,Medium,,25/Jul/25 10:25 AM,27/Aug/25 2:19 PM,In Review,,
Bug,AO3-7076,73801,Radio buttons and checkboxes have unwanted shadows in desktop Chrome,Sarken,557058:443ab871-4096-403e-bd6f-f3534fe417f0,Sarken,557058:443ab871-4096-403e-bd6f-f3534fe417f0,Low,DeployedToBeta,24/Jul/25 8:50 PM,05/Aug/25 2:31 PM,Deployed,,
Improvement,AO3-7075,73800,Add padding to last viewed information in history,Connie Feng,712020:17930fa1-d647-47bd-b334-8a84cbacfca7,Sarken,557058:443ab871-4096-403e-bd6f-f3534fe417f0,Low,,24/Jul/25 8:24 PM,09/Aug/25 10:26 AM,In Review,,
Task,AO3-7074,73799,Remove unused CSS,Connie Feng,712020:17930fa1-d647-47bd-b334-8a84cbacfca7,Sarken,557058:443ab871-4096-403e-bd6f-f3534fe417f0,Lowest,DeployedToBeta,24/Jul/25 8:11 PM,05/Aug/25 2:31 PM,Deployed,,
Task,AO3-7073,73798,"Remove email, birthday, and location from profiles",anna,712020:1bcdb886-fc02-4abf-9f5e-df4ba8bb1ccd,Sarken,557058:443ab871-4096-403e-bd6f-f3534fe417f0,Medium,Done,24/Jul/25 8:11 PM,25/Aug/25 9:43 AM,Deployed,,
Task,AO3-7072,73732,Bump unicode from 0.4.4.4 to 0.4.4.5,anna,712020:1bcdb886-fc02-4abf-9f5e-df4ba8bb1ccd,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Medium,DeployedToBeta,23/Jul/25 11:11 AM,28/Jul/25 10:33 AM,Deployed,,
Improvement,AO3-7071,73705,i18n comment_reply_sent_notification,,,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Medium,,22/Jul/25 3:35 PM,22/Jul/25 3:35 PM,To Do,,
Improvement,AO3-7070,73703,i18n comment_sent_notification,,,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Medium,,22/Jul/25 3:35 PM,22/Jul/25 3:35 PM,To Do,,
Improvement,AO3-7069,73701,Allow arbitrary work id in delete_work_notification preview,,,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Medium,,22/Jul/25 3:07 PM,22/Jul/25 3:15 PM,To Do,,
Task,AO3-7068,73699,Bump thor from 1.3.2 to 1.4.0,,,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Medium,DeployedToBeta,22/Jul/25 1:19 PM,24/Jul/25 3:08 PM,Deployed,,
Task,AO3-7067,73666,Bump nokogiri from 1.18.8 to 1.18.9,,,Sarken,557058:443ab871-4096-403e-bd6f-f3534fe417f0,Medium,DeployedToBeta,21/Jul/25 10:27 PM,24/Jul/25 3:08 PM,Deployed,,
Improvement,AO3-7066,73634,Prevent bookmarks of external works on AO3,,,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Medium,Duplicate,19/Jul/25 4:52 AM,19/Jul/25 5:03 AM,Closed,,
Bug,AO3-7065,73633,Intermittent failures in rspec spec/controllers/api/v2/api_bookmarks_spec.rb,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Medium,DeployedToBeta,19/Jul/25 4:16 AM,24/Jul/25 3:08 PM,Deployed,,
Task,AO3-7064,73600,Update testing-related dependency gems,Domenic Denicola,712020:3dd00329-49c1-4b08-ac0c-005a0bd55975,Domenic Denicola,712020:3dd00329-49c1-4b08-ac0c-005a0bd55975,Low,DeployedToBeta,17/Jul/25 9:21 PM,28/Jul/25 10:33 AM,Deployed,,
Improvement,AO3-7063,73567,Disable phone number detection in iOS Safari,,,lydia-theda,5ded904a73b0bd0e4d82dd09,Medium,,17/Jul/25 12:30 PM,16/Aug/25 9:43 PM,To Do,,
Improvement,AO3-7062,73534,Allow admins to view anonymous and unrevealed blurbs on user's works in collections page,,,lydia-theda,5ded904a73b0bd0e4d82dd09,Low,,17/Jul/25 4:20 AM,17/Jul/25 9:28 AM,To Do,Admin,
Task,AO3-7061,73501,Only permit email for password resets,EchoEkhi,60d5d58e8f2cc10069d7e879,Brian Austin,557058:48d6a38e-168b-4aa7-a58d-a1853a844295,Medium,,16/Jul/25 1:10 AM,02/Oct/25 4:32 AM,In Review,,
Bug,AO3-7060,73471,Blank values for past usernames and emails on user admin page,,,Sarken,557058:443ab871-4096-403e-bd6f-f3534fe417f0,Medium,,15/Jul/25 5:55 PM,21/Jul/25 5:21 AM,To Do,Admin,
New Feature,AO3-7059,73470,Check for exposed credentials on login,,,Brian Austin,557058:48d6a38e-168b-4aa7-a58d-a1853a844295,Medium,,15/Jul/25 1:52 PM,26/Jul/25 11:41 AM,To Do,,
Task,AO3-7058,73469,Upgrade gems and configs to Rails 7.2.x,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Brian Austin,557058:48d6a38e-168b-4aa7-a58d-a1853a844295,High,DeployedToBeta,15/Jul/25 1:32 PM,26/Aug/25 9:33 AM,Deployed,,
Bug,AO3-7057,73441,No error message when attempting to send invitation to invalid email address as admin,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Low,DeployedToBeta,14/Jul/25 12:42 PM,28/Jul/25 2:04 PM,Deployed,Admin,
Improvement,AO3-7056,73440,i18n comment_reply_notification and edited_comment_reply_notification,,,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Medium,,14/Jul/25 11:11 AM,14/Jul/25 11:11 AM,To Do,,
Improvement,AO3-7055,73438,i18n comment_notification and edited_comment_notification,marcus8448,5fa83c958c4efd006f544936,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Medium,,14/Jul/25 11:11 AM,06/Sep/25 10:12 AM,In Review,,
Task,AO3-7054,73436,Bump awalsh128/cache-apt-pkgs-action from 1.5.0 to 1.5.1,,,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Low,DeployedToBeta,14/Jul/25 9:58 AM,24/Jul/25 3:08 PM,Deployed,,
Task,AO3-7053,73435,Bump reviewdog/action-rubocop from 2.21.3 to 2.21.4,,,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Low,DeployedToBeta,14/Jul/25 9:55 AM,24/Jul/25 3:08 PM,Deployed,,
Task,AO3-7052,73413,Dump DB schema before Rails 7.2,Brian Austin,557058:48d6a38e-168b-4aa7-a58d-a1853a844295,Brian Austin,557058:48d6a38e-168b-4aa7-a58d-a1853a844295,Medium,DeployedToBeta,13/Jul/25 9:37 AM,24/Jul/25 3:08 PM,Deployed,,
Epic,AO3-7051,73412,Upgrade to Rails 7.2,,,Brian Austin,557058:48d6a38e-168b-4aa7-a58d-a1853a844295,High,Done,13/Jul/25 9:37 AM,17/Sep/25 12:23 AM,Deployed,,
Improvement,AO3-7050,73411,Admin roles: Restrict ability to send invite to email address,,,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Medium,,13/Jul/25 4:40 AM,13/Jul/25 5:06 PM,To Do,Admin,
Improvement,AO3-7049,73409,Admin roles: Restrict ability to manage users invite requests,,,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Medium,,13/Jul/25 4:11 AM,13/Jul/25 4:41 AM,To Do,Admin,
Improvement,AO3-7048,73407,Migrate inbox comment table to BIGINT,,,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Low,,12/Jul/25 4:11 PM,27/Aug/25 10:28 PM,In Review,,
Improvement,AO3-7047,73406,Migrate comment table to BIGINT,,,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Low,,12/Jul/25 4:11 PM,12/Jul/25 4:11 PM,To Do,,
Improvement,AO3-7046,73405,Migrate subscription table to BIGINT,Connie Feng,712020:17930fa1-d647-47bd-b334-8a84cbacfca7,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Low,DeployedToBeta,12/Jul/25 4:11 PM,05/Aug/25 2:31 PM,Deployed,,
Improvement,AO3-7045,73404,Migrate audit table to BIGINT,,,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Medium,,12/Jul/25 4:10 PM,12/Jul/25 4:10 PM,To Do,,
Improvement,AO3-7044,73403,Migrate tagging table to BIGINT,,,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Medium,,12/Jul/25 4:10 PM,12/Jul/25 4:10 PM,To Do,,
Improvement,AO3-7043,73402,Migrate filter tagging table to BIGINT,Connie Feng,712020:17930fa1-d647-47bd-b334-8a84cbacfca7,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Medium,,12/Jul/25 4:10 PM,17/Sep/25 3:37 AM,In Review,,
Bug,AO3-7042,73369,"Collections index for nonexistent user, work or collection shows all collections when it should 404",Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Bilka,557058:baa5f297-c116-4036-bbf1-109f8a7e50a7,Medium,DeployedToBeta,11/Jul/25 2:09 PM,14/Jul/25 10:42 PM,Deployed,,
